state,date,series_complete_yes,booster_doses
NV,2022-03-20,1849814.7142857143,694893.7142857143
NV,2022-03-27,1852903.0,699408.5714285715
NV,2022-04-03,1855001.25,702360.25
NY,2022-01-02,13992754.0,4686613.0
NY,2022-01-09,14050113.142857144,4868728.428571428
NY,2022-01-16,14163609.142857144,5220738.714285715
NY,2022-01-23,14273533.57142857,5524121.142857143
NY,2022-01-30,14373533.142857144,5765745.857142857
NY,2022-02-06,14460203.42857143,5945273.0
NY,2022-02-13,14542660.857142856,6095829.714285715
NY,2022-02-20,14612081.285714285,6249179.714285715
NY,2022-02-27,14667145.857142856,6396057.0
NY,2022-03-06,14709654.142857144,6485185.571428572
NY,2022-03-13,14743698.57142857,6535668.285714285
NY,2022-03-20,14771471.57142857,6573318.714285715
NY,2022-03-27,14796459.0,6611726.714285715
NY,2022-04-03,14813143.25,6638789.75
OH,2022-01-02,6467075.0,2686731.0
OH,2022-01-09,6493623.0,2811221.4285714286
OH,2022-01-16,6536189.285714285,2998826.714285714
OH,2022-01-23,6580152.285714285,3135590.5714285714
OH,2022-01-30,6618719.857142857,3226184.8571428573
OH,2022-02-06,6652976.285714285,3286314.5714285714
OH,2022-02-13,6679080.285714285,3318941.5714285714
OH,2022-02-20,6704560.142857143,3351592.285714286
OH,2022-02-27,6724465.714285715,3380225.8571428573
OH,2022-03-06,6740689.428571428,3405220.8571428573
OH,2022-03-13,6753979.714285715,3425516.0
OH,2022-03-20,6766073.285714285,3442452.285714286
OH,2022-03-27,6776187.142857143,3458892.0
OH,2022-04-03,6783220.25,3470968.25
OK,2022-01-02,2119215.0,637840.0
OK,2022-01-09,2128034.8571428573,661689.8571428572
OK,2022-01-16,2141208.8571428573,701267.0
OK,2022-01-23,2160646.1428571427,733070.5714285715
OK,2022-01-30,2175870.8571428573,756397.0
OK,2022-02-06,2186758.285714286,772522.7142857143
OK,2022-02-13,2195656.0,781835.7142857143
